gene	count
ENSG00000152348	1
ENSG00000152558	1
ENSG00000154447	1
ENSG00000156374	1
ENSG00000160075	1
ENSG00000160188	1
ENSG00000162869	1
ENSG00000163029	1
ENSG00000163877	1
ENSG00000169139	1
ENSG00000173812	1
ENSG00000175582	1
ENSG00000180694	1
ENSG00000183091	1
ENSG00000185088	1
ENSG00000185305	1
ENSG00000186998	1
ENSG00000197006	1
ENSG00000213741	1
ENSG00000257103	1
ENSG00000264364	1
